epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.0727,0.92598,1.35846,1.05007,0.98251,0.99356,0.98936,0.71816,0.91957,0.65148,1.03717,0.00332642,0.00332642,0.00332642
2,73.9312,0.99415,0.74239,1.07468,0.97993,0.99272,0.9872,0.70943,0.93403,0.54273,1.0585,0.00659382,0.00659382,0.00659382
3,107.942,1.0392,0.64409,1.11338,0.98352,0.99382,0.99082,0.70574,0.99767,0.54105,1.10427,0.00979522,0.00979522,0.00979522
4,141.297,1.03268,0.61435,1.12898,0.97285,0.98959,0.987,0.71615,0.94685,0.49666,1.07594,0.009703,0.009703,0.009703
5,174.995,1.02557,0.58096,1.13121,0.97792,0.9948,0.98685,0.72499,0.9521,0.48099,1.08993,0.009604,0.009604,0.009604
6,208.266,1.00785,0.55938,1.13016,0.9805,0.99407,0.99155,0.73663,0.94138,0.47468,1.06687,0.009505,0.009505,0.009505
7,242.12,0.99216,0.55921,1.12599,0.98046,0.99181,0.99,0.74366,0.91268,0.47959,1.05881,0.009406,0.009406,0.009406
8,275.242,0.96559,0.55682,1.10382,0.98097,0.99272,0.99053,0.74364,0.90516,0.48755,1.04937,0.009307,0.009307,0.009307
9,308.455,0.96607,0.541,1.10729,0.98271,0.99376,0.99094,0.73824,0.9311,0.44817,1.07616,0.009208,0.009208,0.009208
10,341.584,0.96252,0.54082,1.10911,0.98174,0.9948,0.99124,0.75725,0.91162,0.45337,1.06707,0.009109,0.009109,0.009109
11,374.882,0.94447,0.54194,1.11049,0.98764,0.99376,0.98992,0.74186,0.87773,0.50566,1.05196,0.00901,0.00901,0.00901
12,408.012,0.94984,0.53884,1.11773,0.98398,0.99376,0.99037,0.7536,0.86882,0.50888,1.05616,0.008911,0.008911,0.008911
13,441.525,0.94163,0.54353,1.10748,0.98235,0.98751,0.99109,0.75594,0.87888,0.47488,1.03473,0.008812,0.008812,0.008812
14,474.695,0.94104,0.5321,1.12207,0.98476,0.99168,0.99068,0.75927,0.86438,0.49451,1.05308,0.008713,0.008713,0.008713
15,508.211,0.93557,0.53205,1.11506,0.99066,0.99377,0.9917,0.7651,0.88083,0.45589,1.0531,0.008614,0.008614,0.008614
16,541.051,0.93122,0.53069,1.10083,0.9866,0.99563,0.9912,0.75502,0.88068,0.44831,1.03412,0.008515,0.008515,0.008515
17,573.472,0.91994,0.53171,1.0898,0.98605,0.99376,0.99076,0.75064,0.87398,0.46176,1.03008,0.008416,0.008416,0.008416
18,605.761,0.91561,0.52778,1.10751,0.98425,0.9948,0.99089,0.75449,0.87772,0.46851,1.04981,0.008317,0.008317,0.008317
19,638.242,0.91884,0.51336,1.10492,0.98912,0.99376,0.99151,0.76299,0.87043,0.45051,1.03904,0.008218,0.008218,0.008218
20,670.416,0.91912,0.54078,1.10829,0.98447,0.98924,0.99164,0.76104,0.85879,0.46998,1.03721,0.008119,0.008119,0.008119
21,702.631,0.90541,0.51919,1.10014,0.98914,0.9948,0.99203,0.76937,0.8774,0.41925,1.04354,0.00802,0.00802,0.00802
22,735.038,0.90242,0.52192,1.10205,0.98337,0.99584,0.99079,0.75987,0.86101,0.44921,1.0542,0.007921,0.007921,0.007921
23,767.413,0.91024,0.51388,1.11003,0.98845,0.99272,0.9904,0.76692,0.86719,0.439,1.04884,0.007822,0.007822,0.007822
24,799.893,0.90933,0.51249,1.09994,0.98861,0.99329,0.99128,0.77173,0.85857,0.43645,1.04376,0.007723,0.007723,0.007723
25,832.037,0.9013,0.51664,1.09621,0.98759,0.99402,0.9901,0.76683,0.86747,0.41823,1.03991,0.007624,0.007624,0.007624
26,864.39,0.90412,0.50813,1.10727,0.98859,0.99198,0.99234,0.76522,0.87607,0.41638,1.05482,0.007525,0.007525,0.007525
27,896.413,0.89755,0.5233,1.09589,0.98704,0.99272,0.99129,0.76705,0.84671,0.44357,1.05646,0.007426,0.007426,0.007426
28,928.776,0.89515,0.50856,1.10746,0.98937,0.99376,0.99113,0.772,0.86262,0.4309,1.08217,0.007327,0.007327,0.007327
29,960.949,0.90436,0.5022,1.1055,0.98918,0.9948,0.99219,0.76819,0.88678,0.39184,1.05199,0.007228,0.007228,0.007228
30,993.251,0.89558,0.50277,1.09702,0.98618,0.99272,0.99134,0.77514,0.84828,0.44339,1.04039,0.007129,0.007129,0.007129
31,1025.82,0.88641,0.51223,1.10051,0.98963,0.99294,0.99277,0.77574,0.85344,0.43788,1.04872,0.00703,0.00703,0.00703
32,1058.1,0.88909,0.50966,1.09859,0.98589,0.9948,0.9917,0.77103,0.8213,0.47484,1.04309,0.006931,0.006931,0.006931
33,1090.36,0.88214,0.51066,1.0989,0.98803,0.99584,0.99129,0.77252,0.83188,0.45405,1.03906,0.006832,0.006832,0.006832
34,1122.46,0.88713,0.50945,1.10876,0.98964,0.9939,0.99173,0.7697,0.86445,0.41752,1.05664,0.006733,0.006733,0.006733
35,1154.47,0.89647,0.49661,1.1073,0.99019,0.99376,0.9914,0.76709,0.85944,0.41827,1.06023,0.006634,0.006634,0.006634
36,1187.09,0.89163,0.49837,1.10279,0.99144,0.99584,0.99278,0.75905,0.86871,0.4036,1.05357,0.006535,0.006535,0.006535
37,1219.3,0.88267,0.49006,1.09481,0.98552,0.99174,0.99226,0.77068,0.84797,0.43974,1.04755,0.006436,0.006436,0.006436
38,1251.9,0.87799,0.50159,1.10032,0.99041,0.9948,0.99279,0.76722,0.84667,0.42237,1.04223,0.006337,0.006337,0.006337
39,1283.98,0.87967,0.4969,1.10331,0.98858,0.99083,0.99134,0.7648,0.81972,0.46106,1.06499,0.006238,0.006238,0.006238
40,1316.26,0.88146,0.49349,1.12593,0.98768,0.99272,0.99233,0.77539,0.85545,0.42624,1.11903,0.006139,0.006139,0.006139
41,1348.37,0.87703,0.49723,1.11393,0.98674,0.99168,0.99121,0.77488,0.8378,0.42939,1.05709,0.00604,0.00604,0.00604
42,1380.77,0.87734,0.49298,1.11797,0.98962,0.99201,0.9912,0.77006,0.83936,0.41965,1.07955,0.005941,0.005941,0.005941
43,1412.94,0.87623,0.49328,1.11148,0.99006,0.99376,0.99192,0.76871,0.84298,0.41499,1.07864,0.005842,0.005842,0.005842
44,1444.81,0.87181,0.4998,1.1068,0.98719,0.99376,0.99221,0.76926,0.85806,0.40337,1.06231,0.005743,0.005743,0.005743
45,1476.6,0.87916,0.49907,1.09945,0.98847,0.9948,0.99204,0.77253,0.844,0.4256,1.07415,0.005644,0.005644,0.005644
46,1508.44,0.87398,0.48544,1.10143,0.9917,0.99515,0.99242,0.77413,0.84932,0.41045,1.05034,0.005545,0.005545,0.005545
47,1540.25,0.8747,0.49226,1.11696,0.98814,0.9948,0.99211,0.77352,0.85755,0.40657,1.09017,0.005446,0.005446,0.005446
48,1572.12,0.87043,0.49273,1.10705,0.99032,0.99376,0.99246,0.77123,0.84098,0.41939,1.08131,0.005347,0.005347,0.005347
49,1603.91,0.87671,0.48071,1.12011,0.99038,0.9948,0.99235,0.76904,0.85453,0.40722,1.09114,0.005248,0.005248,0.005248
50,1635.91,0.87672,0.48554,1.11585,0.99046,0.99376,0.99227,0.76831,0.85367,0.40011,1.07994,0.005149,0.005149,0.005149
51,1667.54,0.8655,0.48453,1.11686,0.99192,0.99272,0.99211,0.776,0.83988,0.42462,1.0961,0.00505,0.00505,0.00505
52,1699.54,0.87886,0.49443,1.11969,0.98861,0.99349,0.99213,0.7742,0.83451,0.42861,1.07948,0.004951,0.004951,0.004951
53,1731.25,0.86996,0.48952,1.11424,0.9913,0.9948,0.99247,0.77418,0.82744,0.42981,1.07925,0.004852,0.004852,0.004852
54,1763.14,0.85991,0.48477,1.09807,0.98827,0.99376,0.99146,0.76704,0.82714,0.42561,1.05877,0.004753,0.004753,0.004753
55,1795,0.86537,0.47445,1.09823,0.98755,0.99069,0.99183,0.77142,0.84564,0.40378,1.0732,0.004654,0.004654,0.004654
56,1826.94,0.86055,0.48924,1.11363,0.9886,0.99262,0.9917,0.77546,0.83387,0.42716,1.10088,0.004555,0.004555,0.004555
57,1858.76,0.86529,0.47928,1.11693,0.98911,0.99272,0.99197,0.7752,0.84047,0.41288,1.0852,0.004456,0.004456,0.004456
58,1890.51,0.86499,0.4833,1.10504,0.98756,0.99102,0.99174,0.77643,0.83591,0.40923,1.06983,0.004357,0.004357,0.004357
59,1922.28,0.84769,0.5033,1.10389,0.98796,0.98959,0.99145,0.77805,0.83354,0.41724,1.07562,0.004258,0.004258,0.004258
60,1954.24,0.85033,0.47781,1.10792,0.98895,0.99376,0.99182,0.77907,0.82853,0.42568,1.08625,0.004159,0.004159,0.004159
61,1986.15,0.85227,0.48782,1.11027,0.98652,0.98972,0.99157,0.77383,0.83615,0.41948,1.08813,0.00406,0.00406,0.00406
62,2018.08,0.86456,0.47978,1.1159,0.98636,0.99272,0.99145,0.76829,0.84928,0.3968,1.10033,0.003961,0.003961,0.003961
63,2049.81,0.85762,0.46885,1.12236,0.98948,0.99272,0.99215,0.77491,0.85045,0.40179,1.12407,0.003862,0.003862,0.003862
64,2081.64,0.85086,0.49509,1.12314,0.98783,0.99272,0.99057,0.77127,0.83514,0.42031,1.10414,0.003763,0.003763,0.003763
65,2113.35,0.85831,0.47681,1.1162,0.98932,0.99376,0.99162,0.76931,0.83793,0.40584,1.09428,0.003664,0.003664,0.003664
66,2145.37,0.85957,0.47346,1.10911,0.98927,0.99376,0.99227,0.77424,0.84419,0.39244,1.0868,0.003565,0.003565,0.003565
67,2176.98,0.85207,0.48342,1.11906,0.98996,0.99272,0.99165,0.77043,0.84062,0.41233,1.11461,0.003466,0.003466,0.003466
68,2209,0.84768,0.47591,1.11671,0.98786,0.99168,0.9922,0.77234,0.84057,0.40933,1.10812,0.003367,0.003367,0.003367
69,2240.79,0.84453,0.47685,1.0969,0.9886,0.99233,0.99101,0.77314,0.8365,0.4108,1.07745,0.003268,0.003268,0.003268
